2025-January-06 11:09:55, Starting the ETL process
2025-Jan-07-15-21-37, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
------------------------------
2025-Jan-07-15-22-09, INFO: Starting the ETL process
2025-Jan-07-15-22-09, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
------------------------------
2025-Jan-07-15-27-04, INFO: Starting the ETL process
2025-Jan-07-15-27-04, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-15-27-05, INFO: Data imported successfully
2025-Jan-07-15-27-05, INFO: Transforming data...
2025-Jan-07-15-27-05, INFO: Exporting data to Countries_by_GDP_Transformed.json...
2025-Jan-07-15-27-05, INFO: Data exported successfully
2025-Jan-07-15-27-05, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-38-36, INFO: Starting the ETL process
2025-Jan-07-15-38-36, INFO: Importing data from large_data.csv...
2025-Jan-07-15-38-36, INFO: Data imported successfully
2025-Jan-07-15-38-36, INFO: Transforming data...
------------------------------
2025-Jan-07-15-40-28, INFO: Starting the ETL process
2025-Jan-07-15-40-28, INFO: Importing data from large_data.csv...
2025-Jan-07-15-40-28, INFO: Data imported successfully
2025-Jan-07-15-40-28, INFO: Transforming data...
------------------------------
2025-Jan-07-15-40-41, INFO: Starting the ETL process
2025-Jan-07-15-40-41, INFO: Importing data from large_data.csv...
2025-Jan-07-15-40-41, INFO: Data imported successfully
2025-Jan-07-15-40-41, INFO: Transforming data...
------------------------------
2025-Jan-07-15-42-22, INFO: Starting the ETL process
2025-Jan-07-15-42-22, INFO: Importing data from large_data.csv...
2025-Jan-07-15-42-22, INFO: Data imported successfully
2025-Jan-07-15-42-22, INFO: Transforming data...
------------------------------
2025-Jan-07-15-42-45, INFO: Starting the ETL process
2025-Jan-07-15-42-45, INFO: Importing data from large_data.csv...
2025-Jan-07-15-42-45, INFO: Data imported successfully
2025-Jan-07-15-42-45, INFO: Transforming data...
2025-Jan-07-15-42-45, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-42-45, INFO: Data exported successfully
2025-Jan-07-15-42-45, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-43-17, INFO: Starting the ETL process
2025-Jan-07-15-43-17, INFO: Importing data from large_data.csv...
2025-Jan-07-15-43-17, INFO: Data imported successfully
2025-Jan-07-15-43-17, INFO: Transforming data...
2025-Jan-07-15-43-17, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-43-17, INFO: Data exported successfully
2025-Jan-07-15-43-17, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-43-53, INFO: Starting the ETL process
2025-Jan-07-15-43-53, INFO: Importing data from large_data.csv...
2025-Jan-07-15-43-53, INFO: Data imported successfully
2025-Jan-07-15-43-53, INFO: Transforming data...
2025-Jan-07-15-43-53, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-43-53, INFO: Data exported successfully
2025-Jan-07-15-43-53, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-44-26, INFO: Starting the ETL process
2025-Jan-07-15-44-26, INFO: Importing data from large_data.csv...
2025-Jan-07-15-44-27, INFO: Data imported successfully
2025-Jan-07-15-44-27, INFO: Transforming data...
2025-Jan-07-15-44-27, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-44-30, INFO: Data exported successfully
2025-Jan-07-15-44-30, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-45-16, INFO: Starting the ETL process
2025-Jan-07-15-45-16, INFO: Importing data from large_data.csv...
2025-Jan-07-15-45-20, INFO: Data imported successfully
2025-Jan-07-15-45-20, INFO: Transforming data...
2025-Jan-07-15-45-27, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-46-16, INFO: Data exported successfully
2025-Jan-07-15-46-16, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-48-18, INFO: Starting the ETL process
2025-Jan-07-15-48-18, INFO: Importing data from large_data.csv...
2025-Jan-07-15-48-22, INFO: Data imported successfully
2025-Jan-07-15-48-22, INFO: Transforming data...
2025-Jan-07-15-48-29, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-49-19, INFO: Data exported successfully
2025-Jan-07-15-49-19, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-50-16, INFO: Starting the ETL process
2025-Jan-07-15-50-16, INFO: Importing data from large_data.csv...
2025-Jan-07-15-50-20, INFO: Data imported successfully
2025-Jan-07-15-50-20, INFO: Transforming data...
2025-Jan-07-15-50-26, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-50-37, INFO: Data exported successfully
2025-Jan-07-15-50-37, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-58-47, INFO: Starting the ETL process
2025-Jan-07-15-58-47, INFO: Importing data from large_data.csv...
2025-Jan-07-15-58-52, INFO: Data imported successfully
2025-Jan-07-15-58-52, INFO: Extract Time taken: 4.27 seconds
2025-Jan-07-15-58-52, INFO: Transforming data...
2025-Jan-07-15-58-58, INFO: Transform Time taken: 6.55 seconds
2025-Jan-07-15-58-58, INFO: Exporting data to World_Economies.db...
2025-Jan-07-15-59-09, INFO: Data exported successfully
2025-Jan-07-15-59-09, INFO: Load Time taken: 10.53 seconds
2025-Jan-07-15-59-09, INFO: ETL process completed successfully
2025-Jan-07-15-59-09, INFO: Query with Dataframe : 0.43 seconds
------------------------------
2025-Jan-07-15-59-39, INFO: Starting the ETL process
2025-Jan-07-15-59-39, INFO: Importing data from large_data.csv...
2025-Jan-07-15-59-44, INFO: Data imported successfully
2025-Jan-07-15-59-44, INFO: Extract Time taken: 4.48 seconds
2025-Jan-07-15-59-44, INFO: Transforming data...
2025-Jan-07-15-59-50, INFO: Transform Time taken: 6.54 seconds
2025-Jan-07-15-59-50, INFO: Exporting data to World_Economies.db...
2025-Jan-07-16-00-01, INFO: Data exported successfully
2025-Jan-07-16-00-01, INFO: Load Time taken: 10.18 seconds
2025-Jan-07-16-00-01, INFO: ETL process completed successfully
2025-Jan-07-16-00-01, INFO: Query with Dataframe : 0.43 seconds
2025-Jan-07-16-00-12, INFO: Query with SQLITE: 10.98 seconds
------------------------------
2025-Jan-07-16-01-32, INFO: Starting the ETL process
2025-Jan-07-16-01-32, INFO: Importing data from large_data.csv...
2025-Jan-07-16-01-36, INFO: Data imported successfully
2025-Jan-07-16-01-36, INFO: Extract Time taken: 4.38 seconds
2025-Jan-07-16-01-36, INFO: Transforming data...
2025-Jan-07-16-01-43, INFO: Transform Time taken: 6.48 seconds
2025-Jan-07-16-01-43, INFO: Exporting data to World_Economies.db...
2025-Jan-07-16-01-53, INFO: Data exported successfully
2025-Jan-07-16-01-53, INFO: Load Time taken: 10.47 seconds
2025-Jan-07-16-01-53, INFO: ETL process completed successfully
2025-Jan-07-16-01-54, INFO: Query with Dataframe : 0.43 seconds
2025-Jan-07-16-02-05, INFO: Query with SQLITE: 10.99 seconds
------------------------------
2025-Jan-07-16-05-33, INFO: Starting the ETL process
2025-Jan-07-16-05-33, INFO: Importing data from large_data.csv...
2025-Jan-07-16-05-37, INFO: Data imported successfully
2025-Jan-07-16-05-37, INFO: Extract Time taken: 4.25 seconds
2025-Jan-07-16-05-37, INFO: Transforming data...
2025-Jan-07-16-05-43, INFO: Transform Time taken: 5.98 seconds
2025-Jan-07-16-05-43, INFO: Exporting data to World_Economies.db...
2025-Jan-07-16-05-54, INFO: Data exported successfully
2025-Jan-07-16-05-54, INFO: Load Time taken: 10.80 seconds
2025-Jan-07-16-05-54, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-16-06-06, INFO: Starting the ETL process
2025-Jan-07-16-06-06, INFO: Importing data from large_data.csv...
2025-Jan-07-16-06-11, INFO: Data imported successfully
2025-Jan-07-16-06-11, INFO: Extract Time taken: 4.81 seconds
2025-Jan-07-16-06-11, INFO: Transforming data...
2025-Jan-07-16-06-17, INFO: Transform Time taken: 6.08 seconds
2025-Jan-07-16-06-17, INFO: Exporting data to World_Economies.db...
2025-Jan-07-16-06-28, INFO: Data exported successfully
2025-Jan-07-16-06-28, INFO: Load Time taken: 10.46 seconds
2025-Jan-07-16-06-28, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-16-10-08, INFO: Starting the ETL process
2025-Jan-07-16-10-08, INFO: Importing data from large_data.csv...
2025-Jan-07-16-10-13, INFO: Data imported successfully
2025-Jan-07-16-10-13, INFO: Extract Time taken: 4.22 seconds
2025-Jan-07-16-10-13, INFO: Transforming data...
2025-Jan-07-16-10-17, INFO: Transform GDP: 4.21 seconds
2025-Jan-07-16-10-19, INFO: Transform Time taken: 6.10 seconds
2025-Jan-07-16-10-19, INFO: Exporting data to World_Economies.db...
2025-Jan-07-16-10-29, INFO: Data exported successfully
2025-Jan-07-16-10-29, INFO: Load Time taken: 10.58 seconds
2025-Jan-07-16-10-29, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-16-10-54, INFO: Starting the ETL process
2025-Jan-07-16-10-54, INFO: Importing data from large_data.csv...
2025-Jan-07-16-10-58, INFO: Data imported successfully
2025-Jan-07-16-10-58, INFO: Extract Time taken: 4.29 seconds
2025-Jan-07-16-10-58, INFO: Transforming data...
2025-Jan-07-16-11-03, INFO: Transform GDP: 4.24 seconds
2025-Jan-07-16-11-04, INFO: Sort by GDP: 1.75 seconds
2025-Jan-07-16-11-04, INFO: Transform Time taken: 6.11 seconds
------------------------------
2025-Jan-07-16-11-34, INFO: Starting the ETL process
2025-Jan-07-16-11-34, INFO: Importing data from large_data.csv...
2025-Jan-07-16-11-38, INFO: Data imported successfully
2025-Jan-07-16-11-38, INFO: Extract Time taken: 4.52 seconds
2025-Jan-07-16-11-38, INFO: Transforming data...
2025-Jan-07-16-11-43, INFO: Transform GDP: 4.17 seconds
2025-Jan-07-16-11-44, INFO: Sort by GDP: 1.74 seconds
2025-Jan-07-16-11-44, INFO: Transform Time taken: 6.03 seconds
------------------------------
2025-Jan-07-16-11-50, INFO: Starting the ETL process
2025-Jan-07-16-11-50, INFO: Importing data from large_data.csv...
2025-Jan-07-16-11-55, INFO: Data imported successfully
2025-Jan-07-16-11-55, INFO: Extract Time taken: 4.22 seconds
2025-Jan-07-16-11-55, INFO: Transforming data...
2025-Jan-07-16-12-00, INFO: Transform GDP: 4.92 seconds
2025-Jan-07-16-12-01, INFO: Sort by GDP: 1.73 seconds
2025-Jan-07-16-12-01, INFO: Transform Time taken: 6.76 seconds
------------------------------
2025-Jan-07-16-24-02, INFO: Starting the ETL process
2025-Jan-07-16-24-02, INFO: Importing data from large_data.csv...
2025-Jan-07-16-24-07, INFO: Data imported successfully
2025-Jan-07-16-24-07, INFO: Extract Time taken: 4.71 seconds
2025-Jan-07-16-24-07, INFO: Transforming data...
2025-Jan-07-16-24-12, INFO: Transform GDP: 5.00 seconds
2025-Jan-07-16-24-13, INFO: Sort by GDP: 1.80 seconds
2025-Jan-07-16-24-14, INFO: Transform Time taken: 6.91 seconds
------------------------------
2025-Jan-07-16-24-27, INFO: Starting the ETL process
2025-Jan-07-16-24-27, INFO: Importing data from large_data.csv...
2025-Jan-07-16-24-31, INFO: Data imported successfully
2025-Jan-07-16-24-31, INFO: Extract Time taken: 4.51 seconds
2025-Jan-07-16-24-31, INFO: Transforming data...
2025-Jan-07-16-24-32, INFO: Transform GDP1: 1.08 seconds
2025-Jan-07-16-24-36, INFO: Transform GDP2: 3.71 seconds
2025-Jan-07-16-24-38, INFO: Sort by GDP: 1.87 seconds
2025-Jan-07-16-24-38, INFO: Transform Time taken: 6.76 seconds
------------------------------
2025-Jan-07-16-27-56, INFO: Starting the ETL process
2025-Jan-07-16-27-56, INFO: Importing data from large_data.csv...
2025-Jan-07-16-28-01, INFO: Data imported successfully
2025-Jan-07-16-28-01, INFO: Extract Time taken: 4.31 seconds
2025-Jan-07-16-28-01, INFO: Transforming data...
2025-Jan-07-16-28-05, INFO: Transform GDP: 4.11 seconds
2025-Jan-07-16-28-07, INFO: Sort by GDP: 1.74 seconds
2025-Jan-07-16-28-07, INFO: Transform Time taken: 5.97 seconds
------------------------------
2025-Jan-07-16-30-58, INFO: Starting the ETL process
2025-Jan-07-16-30-58, INFO: Importing data from large_data.csv...
2025-Jan-07-16-31-02, INFO: Data imported successfully
2025-Jan-07-16-31-02, INFO: Extract Time taken: 4.26 seconds
2025-Jan-07-16-31-02, INFO: Transforming data...
------------------------------
2025-Jan-07-16-31-28, INFO: Starting the ETL process
2025-Jan-07-16-31-28, INFO: Importing data from large_data.csv...
2025-Jan-07-16-31-33, INFO: Data imported successfully
2025-Jan-07-16-31-33, INFO: Extract Time taken: 4.41 seconds
2025-Jan-07-16-31-33, INFO: Transforming data...
2025-Jan-07-16-31-36, INFO: Transform GDP: 3.25 seconds
2025-Jan-07-16-31-38, INFO: Sort by GDP: 1.77 seconds
2025-Jan-07-16-31-38, INFO: Transform Time taken: 5.13 seconds
------------------------------
2025-Jan-07-16-32-34, INFO: Starting the ETL process
2025-Jan-07-16-32-34, INFO: Importing data from large_data.csv...
2025-Jan-07-16-32-39, INFO: Data imported successfully
2025-Jan-07-16-32-39, INFO: Extract Time taken: 4.27 seconds
2025-Jan-07-16-32-39, INFO: Transforming data...
2025-Jan-07-16-32-42, INFO: Transform GDP: 3.23 seconds
2025-Jan-07-16-32-44, INFO: Sort by GDP: 1.73 seconds
2025-Jan-07-16-32-44, INFO: Transform Time taken: 5.07 seconds
------------------------------
2025-Jan-07-16-33-57, INFO: Starting the ETL process
2025-Jan-07-16-33-57, INFO: Importing data from large_data.csv...
2025-Jan-07-16-34-01, INFO: Data imported successfully
2025-Jan-07-16-34-01, INFO: Extract Time taken: 4.26 seconds
2025-Jan-07-16-34-01, INFO: Transforming data...
2025-Jan-07-16-34-03, INFO: Transform GDP: 1.66 seconds
2025-Jan-07-16-34-05, INFO: Sort by GDP: 1.74 seconds
2025-Jan-07-16-34-05, INFO: Transform Time taken: 3.40 seconds
------------------------------
2025-Jan-07-16-40-58, INFO: Starting the ETL process
2025-Jan-07-16-40-58, INFO: Importing data from large_data_100M.csv...
2025-Jan-07-16-41-49, INFO: Data imported successfully
2025-Jan-07-16-41-49, INFO: Extract Time taken: 50.91 seconds
2025-Jan-07-16-41-49, INFO: Transforming data...
2025-Jan-07-16-42-10, INFO: Transform GDP: 20.90 seconds
2025-Jan-07-16-42-32, INFO: Sort by GDP: 21.90 seconds
2025-Jan-07-16-42-32, INFO: Transform Time taken: 42.81 seconds
------------------------------
2025-Jan-07-16-48-16, INFO: Starting the ETL process
2025-Jan-07-16-48-16, INFO: Importing data from large_data.csv...
2025-Jan-07-16-48-20, INFO: Data imported successfully
2025-Jan-07-16-48-20, INFO: Extract Time taken: 3.92 seconds
2025-Jan-07-16-48-20, INFO: Transforming data...
2025-Jan-07-16-48-22, INFO: Transform GDP: 1.67 seconds
2025-Jan-07-16-48-23, INFO: Sort by GDP: 1.75 seconds
2025-Jan-07-16-48-23, INFO: Transform Time taken: 3.42 seconds
------------------------------
2025-Jan-07-16-49-30, INFO: Starting the ETL process
2025-Jan-07-16-49-30, INFO: Importing data from large_data.csv...
2025-Jan-07-16-49-34, INFO: Data imported successfully
2025-Jan-07-16-49-34, INFO: Extract Time taken: 4.09 seconds
2025-Jan-07-16-49-34, INFO: Transforming data...
2025-Jan-07-16-49-36, INFO: Transform GDP: 1.66 seconds
2025-Jan-07-16-49-37, INFO: Sort by GDP: 1.79 seconds
2025-Jan-07-16-49-37, INFO: Transform Time taken: 3.45 seconds
------------------------------
2025-Jan-07-16-49-50, INFO: Starting the ETL process
2025-Jan-07-16-49-50, INFO: Importing data from large_data.csv...
2025-Jan-07-16-49-55, INFO: Data imported successfully
2025-Jan-07-16-49-55, INFO: Extract Time taken: 4.44 seconds
2025-Jan-07-16-49-55, INFO: Transforming data...
2025-Jan-07-16-49-57, INFO: Transform GDP: 1.69 seconds
2025-Jan-07-16-49-58, INFO: Sort by GDP: 1.83 seconds
2025-Jan-07-16-49-58, INFO: Transform Time taken: 3.52 seconds
------------------------------
2025-Jan-07-16-51-01, INFO: Starting the ETL process
2025-Jan-07-16-51-01, INFO: Importing data from large_data.csv...
2025-Jan-07-16-51-05, INFO: Data imported successfully
2025-Jan-07-16-51-05, INFO: Extract Time taken: 4.19 seconds
2025-Jan-07-16-51-05, INFO: Transforming data...
2025-Jan-07-16-51-06, INFO: Transform GDP: 1.66 seconds
2025-Jan-07-16-51-08, INFO: Sort by GDP: 1.72 seconds
2025-Jan-07-16-51-08, INFO: Transform Time taken: 3.37 seconds
------------------------------
2025-Jan-07-16-51-09, INFO: Starting the ETL process
2025-Jan-07-16-51-09, INFO: Importing data from large_data.csv...
2025-Jan-07-16-51-13, INFO: Data imported successfully
2025-Jan-07-16-51-13, INFO: Extract Time taken: 4.29 seconds
2025-Jan-07-16-51-13, INFO: Transforming data...
2025-Jan-07-16-51-15, INFO: Transform GDP: 1.63 seconds
2025-Jan-07-16-51-17, INFO: Sort by GDP: 1.85 seconds
2025-Jan-07-16-51-17, INFO: Transform Time taken: 3.48 seconds
------------------------------
2025-Jan-07-16-52-11, INFO: Starting the ETL process
2025-Jan-07-16-52-11, INFO: Importing data from large_data.csv...
2025-Jan-07-16-52-16, INFO: Data imported successfully
2025-Jan-07-16-52-16, INFO: Extract Time taken: 4.94 seconds
2025-Jan-07-16-52-16, INFO: Transforming data...
2025-Jan-07-16-52-17, INFO: Transform GDP: 1.74 seconds
2025-Jan-07-16-52-19, INFO: Sort by GDP: 1.84 seconds
2025-Jan-07-16-52-19, INFO: Transform Time taken: 3.58 seconds
------------------------------
2025-Jan-07-16-52-21, INFO: Starting the ETL process
2025-Jan-07-16-52-21, INFO: Importing data from large_data.csv...
2025-Jan-07-16-52-26, INFO: Data imported successfully
2025-Jan-07-16-52-26, INFO: Extract Time taken: 4.59 seconds
2025-Jan-07-16-52-26, INFO: Transforming data...
2025-Jan-07-16-52-27, INFO: Transform GDP: 1.68 seconds
2025-Jan-07-16-52-29, INFO: Sort by GDP: 1.77 seconds
2025-Jan-07-16-52-29, INFO: Transform Time taken: 3.46 seconds
------------------------------
2025-Jan-07-16-52-31, INFO: Starting the ETL process
2025-Jan-07-16-52-31, INFO: Importing data from large_data.csv...
2025-Jan-07-16-52-36, INFO: Data imported successfully
2025-Jan-07-16-52-36, INFO: Extract Time taken: 4.94 seconds
2025-Jan-07-16-52-36, INFO: Transforming data...
2025-Jan-07-16-52-38, INFO: Transform GDP: 1.87 seconds
2025-Jan-07-16-52-39, INFO: Sort by GDP: 1.79 seconds
2025-Jan-07-16-52-39, INFO: Transform Time taken: 3.67 seconds
------------------------------
2025-Jan-07-16-55-50, INFO: Starting the ETL process
2025-Jan-07-16-55-50, INFO: Importing data from large_data_100M.csv...
2025-Jan-07-16-56-36, INFO: Data imported successfully
2025-Jan-07-16-56-36, INFO: Extract Time taken: 46.85 seconds
------------------------------
2025-Jan-07-16-57-50, INFO: Starting the ETL process
2025-Jan-07-16-57-50, INFO: Importing data from large_data_100M.csv...
2025-Jan-07-16-58-31, INFO: Data imported successfully
2025-Jan-07-16-58-31, INFO: Extract Time taken: 40.25 seconds
------------------------------
2025-Jan-07-16-58-50, INFO: Starting the ETL process
2025-Jan-07-16-58-50, INFO: Importing data from large_data_100M.csv...
2025-Jan-07-16-59-34, INFO: Data imported successfully
2025-Jan-07-16-59-34, INFO: Extract Time taken: 44.38 seconds
------------------------------
2025-Jan-07-17-01-34, INFO: Starting the ETL process
2025-Jan-07-17-01-34, INFO: Importing data from large_data_100M.csv...
2025-Jan-07-17-02-19, INFO: Data imported successfully
2025-Jan-07-17-02-19, INFO: Extract Time taken: 44.81 seconds
------------------------------
2025-Jan-07-17-03-59, INFO: Starting the ETL process
2025-Jan-07-17-03-59, INFO: Importing data from large_data_100M.csv...
2025-Jan-07-17-04-48, INFO: Data imported successfully
2025-Jan-07-17-04-48, INFO: Extract Time taken: 48.77 seconds
------------------------------
2025-Jan-07-17-12-19, INFO: Starting the ETL process
2025-Jan-07-17-12-19, INFO: Importing data from large_data.csv...
2025-Jan-07-17-12-24, INFO: Data imported successfully
2025-Jan-07-17-12-24, INFO: Extract Time taken: 4.21 seconds
------------------------------
2025-Jan-07-17-12-26, INFO: Starting the ETL process
2025-Jan-07-17-12-26, INFO: Importing data from large_data.csv...
2025-Jan-07-17-12-30, INFO: Data imported successfully
2025-Jan-07-17-12-30, INFO: Extract Time taken: 4.26 seconds
------------------------------
2025-Jan-07-17-12-31, INFO: Starting the ETL process
2025-Jan-07-17-12-31, INFO: Importing data from large_data.csv...
2025-Jan-07-17-12-35, INFO: Data imported successfully
2025-Jan-07-17-12-35, INFO: Extract Time taken: 4.41 seconds
------------------------------
2025-Jan-07-17-12-45, INFO: Starting the ETL process
2025-Jan-07-17-12-45, INFO: Importing data from large_data.csv...
2025-Jan-07-17-12-49, INFO: Data imported successfully
2025-Jan-07-17-12-49, INFO: Extract Time taken: 3.85 seconds
------------------------------
2025-Jan-07-17-12-50, INFO: Starting the ETL process
2025-Jan-07-17-12-50, INFO: Importing data from large_data.csv...
2025-Jan-07-17-12-54, INFO: Data imported successfully
2025-Jan-07-17-12-54, INFO: Extract Time taken: 3.82 seconds
------------------------------
2025-Jan-07-18-14-44, INFO: Starting the ETL process
2025-Jan-07-18-14-44, INFO: Importing data from large_data.csv...
2025-Jan-07-18-14-48, INFO: Data imported successfully
2025-Jan-07-18-14-48, INFO: Extract Time taken: 3.83 seconds
2025-Jan-07-18-14-48, INFO: Transforming data...
2025-Jan-07-18-14-50, INFO: Transform GDP: 1.65 seconds
2025-Jan-07-18-14-51, INFO: Sort by GDP: 1.73 seconds
2025-Jan-07-18-14-51, INFO: Transform Time taken: 3.37 seconds
2025-Jan-07-18-14-51, INFO: Exporting data to World_Economies.db...
2025-Jan-07-18-15-04, INFO: Data exported successfully
2025-Jan-07-18-15-04, INFO: Load Time taken: 12.68 seconds
2025-Jan-07-18-15-04, INFO: ETL process completed successfully
2025-Jan-07-18-15-04, INFO: Query with Dataframe : 0.43 seconds
2025-Jan-07-18-15-15, INFO: Query with SQLITE: 10.93 seconds
------------------------------
2025-Jan-07-18-28-36, INFO: Starting the ETL process
2025-Jan-07-18-28-36, INFO: Importing data from large_data.csv...
2025-Jan-07-18-28-40, INFO: Data imported successfully
2025-Jan-07-18-28-40, INFO: Extract Time taken: 4.05 seconds
2025-Jan-07-18-28-40, INFO: Transforming data...
2025-Jan-07-18-28-41, INFO: Transform GDP: 1.70 seconds
2025-Jan-07-18-28-43, INFO: Sort by GDP: 1.81 seconds
2025-Jan-07-18-28-43, INFO: Transform Time taken: 3.52 seconds
2025-Jan-07-18-28-43, INFO: Exporting data to World_Economies.db...
2025-Jan-07-18-28-54, INFO: Data exported successfully
2025-Jan-07-18-28-54, INFO: Load Time taken: 10.90 seconds
2025-Jan-07-18-28-54, INFO: ETL process completed successfully
2025-Jan-07-18-28-54, INFO: Query with Dataframe : 0.46 seconds
2025-Jan-07-18-29-05, INFO: Query with SQLITE: 10.96 seconds
------------------------------
2025-Jan-07-18-33-08, INFO: Starting the ETL process
2025-Jan-07-18-33-08, INFO: Importing data from large_data.csv...
2025-Jan-07-18-33-12, INFO: Data imported successfully
2025-Jan-07-18-33-12, INFO: Extract Time taken: 4.02 seconds
2025-Jan-07-18-33-12, INFO: Transforming data...
2025-Jan-07-18-33-16, INFO: Transform GDP: 4.06 seconds
2025-Jan-07-18-33-18, INFO: Sort by GDP: 1.74 seconds
2025-Jan-07-18-33-18, INFO: Transform Time taken: 5.80 seconds
2025-Jan-07-18-33-18, INFO: Exporting data to World_Economies.db...
2025-Jan-07-18-33-28, INFO: Data exported successfully
2025-Jan-07-18-33-28, INFO: Load Time taken: 10.84 seconds
2025-Jan-07-18-33-28, INFO: ETL process completed successfully
2025-Jan-07-18-33-29, INFO: Query with Dataframe : 0.49 seconds
2025-Jan-07-18-33-40, INFO: Query with SQLITE: 11.16 seconds
------------------------------
2025-Jan-08-14-29-24, INFO: Starting the ETL process
2025-Jan-08-14-29-24, INFO: Importing data from large_data_100M.csv...
2025-Jan-08-14-30-06, INFO: Data imported successfully
2025-Jan-08-14-30-06, INFO: Extract Time taken: 42.05 seconds
2025-Jan-08-14-30-06, INFO: Transforming data...
2025-Jan-08-14-30-25, INFO: Transform GDP: 19.22 seconds
2025-Jan-08-14-30-47, INFO: Sort by GDP: 21.69 seconds
2025-Jan-08-14-30-47, INFO: Transform Time taken: 40.92 seconds
2025-Jan-08-14-30-47, INFO: Exporting data to World_Economies.db...
2025-Jan-08-14-33-37, INFO: Data exported successfully
2025-Jan-08-14-33-37, INFO: Load Time taken: 169.91 seconds
2025-Jan-08-14-33-37, INFO: ETL process completed successfully
2025-Jan-08-14-33-42, INFO: Query with Dataframe : 5.40 seconds
2025-Jan-08-14-35-41, INFO: Query with SQLITE: 118.75 seconds
------------------------------
2025-Jan-08-15-44-40, INFO: Starting the ETL process
2025-Jan-08-15-44-40, INFO: Importing data from large_data_100M.csv...
2025-Jan-08-15-45-23, INFO: Data imported successfully
2025-Jan-08-15-45-23, INFO: Extract Time taken: 42.94 seconds
2025-Jan-08-15-45-23, INFO: Transforming data...
------------------------------
2025-Jan-08-15-45-52, INFO: Starting the ETL process
------------------------------
2025-Jan-08-15-46-04, INFO: Starting the ETL process
------------------------------
2025-Jan-08-15-50-50, INFO: Starting the ETL process
------------------------------
2025-Jan-08-15-54-31, INFO: Starting the ETL process
------------------------------
2025-Jan-08-15-55-18, INFO: Starting the ETL process
------------------------------
2025-Jan-08-15-55-45, INFO: Starting the ETL process
------------------------------
2025-Jan-08-16-04-52, INFO: Starting the ETL process
------------------------------
2025-Jan-08-16-05-09, INFO: Starting the ETL process
------------------------------
2025-Jan-08-16-10-47, INFO: Starting the ETL process
2025-Jan-08-16-12-03, INFO: Split data: 76.01 seconds
------------------------------
2025-Jan-08-16-24-25, INFO: Starting the ETL process
2025-Jan-08-16-24-25, INFO: Importing data from large_data_10M.csv...
2025-Jan-08-16-24-29, INFO: Data imported successfully
2025-Jan-08-16-24-29, INFO: Extract Time taken: 4.10 seconds
2025-Jan-08-16-24-29, INFO: Transforming data...
2025-Jan-08-16-24-31, INFO: Transform GDP: 1.71 seconds
2025-Jan-08-16-24-33, INFO: Sort by GDP: 1.76 seconds
2025-Jan-08-16-24-33, INFO: Transform Time taken: 3.47 seconds
2025-Jan-08-16-24-33, INFO: Exporting data to World_Economies.db...
2025-Jan-08-16-24-45, INFO: Data exported successfully
2025-Jan-08-16-24-45, INFO: Load Time taken: 11.71 seconds
2025-Jan-08-16-24-45, INFO: ETL process completed successfully
2025-Jan-08-16-24-45, INFO: Query with Dataframe : 0.46 seconds
2025-Jan-08-16-24-57, INFO: Query with SQLITE: 11.51 seconds
------------------------------
2025-Jan-08-16-31-14, INFO: Starting the Parallel ETL process
2025-Jan-08-16-31-22, INFO: Extract data: 7.79 seconds
------------------------------
2025-Jan-08-16-32-28, INFO: Starting the Parallel ETL process
------------------------------
2025-Jan-08-16-33-02, INFO: Starting the Parallel ETL process
2025-Jan-08-16-33-18, INFO: Extract data: 15.10 seconds
2025-Jan-08-16-33-21, INFO: Transform chunks: 3.00 seconds
2025-Jan-08-16-33-23, INFO: Map by region: 2.95 seconds
2025-Jan-08-16-33-26, INFO: Reduce by region: 2.94 seconds
------------------------------
2025-Jan-08-16-34-12, INFO: Starting the Parallel ETL process
2025-Jan-08-16-34-20, INFO: Extract data: 7.71 seconds
------------------------------
2025-Jan-08-16-37-15, INFO: Starting the Parallel ETL process
2025-Jan-08-16-37-23, INFO: Extract data: 8.14 seconds
2025-Jan-08-16-37-26, INFO: Transform chunks: 2.48 seconds
2025-Jan-08-16-37-29, INFO: Map by region: 2.84 seconds
